sample_id,video_path,tactile_path,object_id,physical_object_uid,source_medium,target_medium,reference_medium,direction,water_condition,lift_speed,placement_variant,trial_result,t_start,t_contact_all,t_grasp_stable,t_if_enter,t_if_exit,t_end,notes,sync_offset_sec,sync_audit_status,sync_audit_note
S0136,raw/videos/S0136.mp4,raw/tactile/S0136.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,2.867,7.933,9.567,12.133,24.133,,0,verified_zero,
S0137,raw/videos/S0137.mp4,raw/tactile/S0137.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,2.033,7.667,10.233,12.767,24.233,,0,verified_zero,
S0138,raw/videos/S0138.mp4,raw/tactile/S0138.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,2.333,8.333,9.933,12.2,24.3,,0,verified_zero,
S0139,raw/videos/S0139.mp4,raw/tactile/S0139.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,2.7,8.133,10.033,12.667,24.5,,0,verified_zero,
S0140,raw/videos/S0140.mp4,raw/tactile/S0140.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,2.567,7.433,8.867,11.467,23.633,,0,verified_zero,
S0141,raw/videos/S0141.mp4,raw/tactile/S0141.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,2.133,7.6,9.067,11.533,23.167,,0,verified_zero,
S0142,raw/videos/S0142.mp4,raw/tactile/S0142.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,fast,normal,stable,0,2.267,8.233,9.733,11.467,18.8,,0,verified_zero,
S0143,raw/videos/S0143.mp4,raw/tactile/S0143.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,fast,normal,stable,0,2.5,7.367,9.367,11.267,17.233,,0,verified_zero,
S0144,raw/videos/S0144.mp4,raw/tactile/S0144.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,fast,normal,stable,0,1.867,7.533,8.9,11.067,18.2,,0,verified_zero,
S0145,raw/videos/S0145.mp4,raw/tactile/S0145.txt,OBJ009,VT_OBJ009,water,air,water,W2A,turbid,normal,normal,stable,0,1.533,10.1,11.733,17.3,24.933,,0,verified_zero,
S0146,raw/videos/S0146.mp4,raw/tactile/S0146.txt,OBJ009,VT_OBJ009,water,air,water,W2A,turbid,normal,normal,stable,0,2.333,9.567,11.133,15.333,24.933,,0,verified_zero,
S0147,raw/videos/S0147.mp4,raw/tactile/S0147.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,fail,0,2.667,8.1,10.067,14.7,22.767,,0,verified_zero,
S0148,raw/videos/S0148.mp4,raw/tactile/S0148.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,1.967,7.167,9.2,14.1,24.667,,0,verified_zero,
S0149,raw/videos/S0149.mp4,raw/tactile/S0149.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,1.867,8,10.2,14.367,24.467,,0,verified_zero,
S0150,raw/videos/S0150.mp4,raw/tactile/S0150.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,2.167,7.4,9.433,13.967,23.967,,0,verified_zero,
S0151,raw/videos/S0151.mp4,raw/tactile/S0151.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,1.7,7.433,9.467,12.633,23.767,,0,verified_zero,
S0152,raw/videos/S0152.mp4,raw/tactile/S0152.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,1.867,7.067,8.867,12.233,23,,0,verified_zero,
S0153,raw/videos/S0153.mp4,raw/tactile/S0153.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,2.167,10.867,11.833,15.467,24.933,,0,verified_zero,
S0154,raw/videos/S0154.mp4,raw/tactile/S0154.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,1.667,6.933,8.667,11.967,23.033,,0,verified_zero,
S0155,raw/videos/S0155.mp4,raw/tactile/S0155.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,1.867,7.267,9.6,13.267,23.733,,0,verified_zero,
S0156,raw/videos/S0156.mp4,raw/tactile/S0156.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,normal,stable,0,1.667,7.433,9.267,12.533,24.333,,0,verified_zero,
S0157,raw/videos/S0157.mp4,raw/tactile/S0157.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,fast,normal,stable,0,1.767,7.567,9.4,11.733,17.867,,0,verified_zero,
S0158,raw/videos/S0158.mp4,raw/tactile/S0158.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,fast,normal,stable,0,1.867,7,9.333,11.2,17.933,,0,verified_zero,
S0159,raw/videos/S0159.mp4,raw/tactile/S0159.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,fast,normal,stable,0,1.8,6.967,8.367,10.467,17,,0,verified_zero,
S0160,raw/videos/S0160.mp4,raw/tactile/S0160.txt,OBJ010,VT_OBJ010,water,air,water,W2A,turbid,normal,normal,stable,0,4.1,9.433,11.5,14,24.933,,0,verified_zero,
S0161,raw/videos/S0161.mp4,raw/tactile/S0161.txt,OBJ010,VT_OBJ010,water,air,water,W2A,turbid,normal,normal,stable,0,4.333,9.6,10.6,13.767,24.3,,0,verified_zero,
S0162,raw/videos/S0162.mp4,raw/tactile/S0162.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,inverse,stable,0,2.133,6.667,9.367,12.067,23.8,,0,verified_zero,
S0163,raw/videos/S0163.mp4,raw/tactile/S0163.txt,OBJ010,VT_OBJ010,water,air,water,W2A,clear,normal,inverse,stable,0,2.233,7.167,8.1,10.8,22.467,,0,verified_zero,
S0164,raw/videos/S0164.mp4,raw/tactile/S0164.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,2.3,8.1,10.067,13.333,24.933,,0,verified_zero,
S0165,raw/videos/S0165.mp4,raw/tactile/S0165.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,2.333,8.2,9.633,13.333,24.4,,0,verified_zero,
S0166,raw/videos/S0166.mp4,raw/tactile/S0166.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,2.833,8.767,10.267,14.133,24.933,,0,verified_zero,
S0167,raw/videos/S0167.mp4,raw/tactile/S0167.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,2.233,8.467,10.033,14.233,24.933,,0,verified_zero,
S0168,raw/videos/S0168.mp4,raw/tactile/S0168.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,2.1,8.133,9.433,13.667,24.633,,0,verified_zero,
S0169,raw/videos/S0169.mp4,raw/tactile/S0169.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,1.867,7.5,9.533,13.733,24.167,,0,verified_zero,
S0170,raw/videos/S0170.mp4,raw/tactile/S0170.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,2,8.067,9.8,14.267,24.4,,0,verified_zero,
S0171,raw/videos/S0171.mp4,raw/tactile/S0171.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,2.367,8.433,9.867,13.9,24.9,,0,verified_zero,
S0172,raw/videos/S0172.mp4,raw/tactile/S0172.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,stable,0,2.4,7.7,9.3,13.1,24.8,,0,verified_zero,
S0173,raw/videos/S0173.mp4,raw/tactile/S0173.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,fast,normal,stable,0,2.367,8.233,9.7,12.667,18.533,,0,verified_zero,
S0174,raw/videos/S0174.mp4,raw/tactile/S0174.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,normal,normal,fail,0,2.167,7.9,9.267,12.8,20.867,,0,verified_zero,
S0175,raw/videos/S0175.mp4,raw/tactile/S0175.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,fast,normal,stable,0,2.133,7.967,9.3,11.8,18.267,,0,verified_zero,
S0176,raw/videos/S0176.mp4,raw/tactile/S0176.txt,OBJ011,VT_OBJ011,water,air,water,W2A,clear,fast,normal,stable,0,2.1,8.5,10.2,12.6,19.6,,0,verified_zero,
S0177,raw/videos/S0177.mp4,raw/tactile/S0177.txt,OBJ011,VT_OBJ011,water,air,water,W2A,turbid,normal,normal,fail,0,2.333,10.667,12.667,16.4,23.1,,0,verified_zero,
S0178,raw/videos/S0178.mp4,raw/tactile/S0178.txt,OBJ011,VT_OBJ011,water,air,water,W2A,turbid,normal,normal,fail,0,2.4,10.7,12,14.2,15.6,,0,verified_zero,
S0179,raw/videos/S0179.mp4,raw/tactile/S0179.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,1.8,7.6,10,13,24.5,,0,verified_zero,
S0180,raw/videos/S0180.mp4,raw/tactile/S0180.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,1.8,7.1,8.9,11.7,23.1,,0,verified_zero,
S0181,raw/videos/S0181.mp4,raw/tactile/S0181.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,2.1,7.4,9.8,12.5,23.733,,0,verified_zero,
S0182,raw/videos/S0182.mp4,raw/tactile/S0182.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,2.2,8.1,10.4,13.1,24.9,,0,verified_zero,
S0183,raw/videos/S0183.mp4,raw/tactile/S0183.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,1.5,6.6,8.3,11,22.667,,0,verified_zero,
S0184,raw/videos/S0184.mp4,raw/tactile/S0184.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,1.7,6.8,8.967,11.9,23.067,,0,verified_zero,
S0185,raw/videos/S0185.mp4,raw/tactile/S0185.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,1.9,8.5,11.1,14.1,24.933,,0,verified_zero,
S0186,raw/videos/S0186.mp4,raw/tactile/S0186.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,1.9,6.8,8.9,11.5,23.367,,0,verified_zero,
S0187,raw/videos/S0187.mp4,raw/tactile/S0187.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,stable,0,1.8,7,8.933,11.8,22.8,,0,verified_zero,
S0188,raw/videos/S0188.mp4,raw/tactile/S0188.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,fast,normal,stable,0,1.9,7,9,11.1,17.567,,0,verified_zero,
S0189,raw/videos/S0189.mp4,raw/tactile/S0189.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,fast,normal,stable,0,2,6.8,8.9,11.3,18,,0,verified_zero,
S0190,raw/videos/S0190.mp4,raw/tactile/S0190.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,fast,normal,stable,0,1.5,9.2,10.9,13,19.233,,0,verified_zero,
S0191,raw/videos/S0191.mp4,raw/tactile/S0191.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,normal,fail,0,1.9,7.2,8.9,,10.2,,0,verified_zero,
S0192,raw/videos/S0192.mp4,raw/tactile/S0192.txt,OBJ012,VT_OBJ012,water,air,water,W2A,turbid,normal,normal,stable,0,3.1,10.8,11.8,14,24.933,,0,verified_zero,
S0193,raw/videos/S0193.mp4,raw/tactile/S0193.txt,OBJ012,VT_OBJ012,water,air,water,W2A,turbid,normal,normal,stable,0,3.7,9.1,11.1,13.6,24.933,,0,verified_zero,
S0194,raw/videos/S0194.mp4,raw/tactile/S0194.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,inverse,stable,0,2.2,6.3,8.5,10.8,22.3,,0,verified_zero,
S0195,raw/videos/S0195.mp4,raw/tactile/S0195.txt,OBJ012,VT_OBJ012,water,air,water,W2A,clear,normal,inverse,stable,0,2.2,7.2,8.8,10.9,22.8,,0,verified_zero,
S0196,raw/videos/S0196.mp4,raw/tactile/S0196.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,4,7.1,11.2,14.7,24.933,,0,verified_zero,
S0197,raw/videos/S0197.mp4,raw/tactile/S0197.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,3.2,5.2,7.7,10.9,24.333,,0,verified_zero,
S0198,raw/videos/S0198.mp4,raw/tactile/S0198.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,fail,0,3.3,5.8,9.3,12.6,16.4,,0,verified_zero,
S0199,raw/videos/S0199.mp4,raw/tactile/S0199.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,3.4,5.9,7.9,11.3,23.767,,0,verified_zero,
S0200,raw/videos/S0200.mp4,raw/tactile/S0200.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.7,5.9,8.1,11.2,23.3,,0,verified_zero,
S0201,raw/videos/S0201.mp4,raw/tactile/S0201.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.5,5.4,8.4,11.2,22.6,,0,verified_zero,
S0202,raw/videos/S0202.mp4,raw/tactile/S0202.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.4,5,7.5,11.3,22.8,,0,verified_zero,
S0203,raw/videos/S0203.mp4,raw/tactile/S0203.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.4,5.4,7.6,11.1,23.033,,0,verified_zero,
S0204,raw/videos/S0204.mp4,raw/tactile/S0204.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.5,5.6,7.8,11.7,23.233,,0,verified_zero,
S0205,raw/videos/S0205.mp4,raw/tactile/S0205.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.4,5.9,8.1,11.4,23.4,,0,verified_zero,
S0206,raw/videos/S0206.mp4,raw/tactile/S0206.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.4,5.5,8.1,12.5,23.6,,0,verified_zero,
S0207,raw/videos/S0207.mp4,raw/tactile/S0207.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.7,5.3,7.5,11.9,23.4,,0,verified_zero,
S0208,raw/videos/S0208.mp4,raw/tactile/S0208.txt,OBJ013,VT_OBJ013,water,air,water,W2A,clear,normal,normal,stable,0,2.7,5.2,9.7,13.5,24.567,,0,verified_zero,
S0209,raw/videos/S0209.mp4,raw/tactile/S0209.txt,OBJ013,VT_OBJ013,water,air,water,W2A,turbid,normal,normal,stable,0,2.8,8.2,9.5,12.7,23.967,,0,verified_zero,
S0210,raw/videos/S0210.mp4,raw/tactile/S0210.txt,OBJ013,VT_OBJ013,water,air,water,W2A,turbid,normal,normal,stable,0,2.4,6.8,8.8,11.1,24.3,,0,verified_zero,
S0211,raw/videos/S0211.mp4,raw/tactile/S0211.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2,5.6,7.6,10.3,23.967,,0,verified_zero,
S0212,raw/videos/S0212.mp4,raw/tactile/S0212.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2,5.5,8.3,11.6,23.2,,0,verified_zero,
S0213,raw/videos/S0213.mp4,raw/tactile/S0213.txt,OBJ014,VT_OBJ014,water,air,water,W2A,turbid,normal,normal,stable,0,3.2,7,8.3,11.5,23.233,,0,verified_zero,
S0214,raw/videos/S0214.mp4,raw/tactile/S0214.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,1.6,5.7,7.5,10.3,22.067,,0,verified_zero,
S0215,raw/videos/S0215.mp4,raw/tactile/S0215.txt,OBJ014,VT_OBJ014,water,air,water,W2A,turbid,normal,normal,stable,0,2.6,7.5,9.2,11.7,24.267,,0,verified_zero,
S0216,raw/videos/S0216.mp4,raw/tactile/S0216.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,1.9,5.567,7.1,10.3,22.3,,0,verified_zero,
S0217,raw/videos/S0217.mp4,raw/tactile/S0217.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2,5.7,7.9,10.6,22.467,,0,verified_zero,
S0218,raw/videos/S0218.mp4,raw/tactile/S0218.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,1.9,5.7,7.7,10.7,21.933,,0,verified_zero,
S0219,raw/videos/S0219.mp4,raw/tactile/S0219.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2.2,5.4,7.1,10.7,22.333,,0,verified_zero,
S0220,raw/videos/S0220.mp4,raw/tactile/S0220.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2,5.5,7.5,10.8,21.8,,0,verified_zero,
S0221,raw/videos/S0221.mp4,raw/tactile/S0221.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2.4,5.7,7.3,10.2,22.167,,0,verified_zero,
S0222,raw/videos/S0222.mp4,raw/tactile/S0222.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2.4,6,8.4,11,23.233,,0,verified_zero,
S0223,raw/videos/S0223.mp4,raw/tactile/S0223.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2.2,6.4,8,11,23.433,,0,verified_zero,
S0224,raw/videos/S0224.mp4,raw/tactile/S0224.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,stable,0,2,5.6,7.3,9.7,22.467,,0,verified_zero,
S0225,raw/videos/S0225.mp4,raw/tactile/S0225.txt,OBJ014,VT_OBJ014,water,air,water,W2A,clear,normal,normal,fail,0,1.9,5.6,7.3,,9.2,,0,verified_zero,
S0226,raw/videos/S0226.mp4,raw/tactile/S0226.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,fail,0,2.8,5.3,7.7,11.8,20.3,,0,verified_zero,
S0227,raw/videos/S0227.mp4,raw/tactile/S0227.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,2,6.3,10.2,13.4,24.567,,0,verified_zero,
S0228,raw/videos/S0228.mp4,raw/tactile/S0228.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,2.3,5.8,9.1,11.8,24.9,,0,verified_zero,
S0229,raw/videos/S0229.mp4,raw/tactile/S0229.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,4.9,6.1,8.2,12.1,21.567,,0,verified_zero,
S0230,raw/videos/S0230.mp4,raw/tactile/S0230.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,4.1,5.8,8.5,11.5,22.133,,0,verified_zero,
S0231,raw/videos/S0231.mp4,raw/tactile/S0231.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,3.2,6.4,8.7,11.6,23.067,,0,verified_zero,
S0232,raw/videos/S0232.mp4,raw/tactile/S0232.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,3.3,6,8.5,11.6,22.767,,0,verified_zero,
S0233,raw/videos/S0233.mp4,raw/tactile/S0233.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,3.3,6.8,8.8,11.9,23.233,,0,verified_zero,
S0234,raw/videos/S0234.mp4,raw/tactile/S0234.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,3.2,6.2,7.7,11.6,22.7,,0,verified_zero,
S0235,raw/videos/S0235.mp4,raw/tactile/S0235.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,2.333,6.4,7.767,11.5,22.333,,0,verified_zero,
S0236,raw/videos/S0236.mp4,raw/tactile/S0236.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,2.6,5.9,7.7,11.7,22.3,,0,verified_zero,
S0237,raw/videos/S0237.mp4,raw/tactile/S0237.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,3.7,6.5,7.967,11.7,22.933,,0,verified_zero,
S0238,raw/videos/S0238.mp4,raw/tactile/S0238.txt,OBJ015,VT_OBJ015,water,air,water,W2A,clear,normal,normal,stable,0,3.067,6.6,8.7,11.5,23.7,,0,verified_zero,
S0239,raw/videos/S0239.mp4,raw/tactile/S0239.txt,OBJ015,VT_OBJ015,water,air,water,W2A,turbid,normal,normal,stable,0,2.5,6.2,8.8,11.5,23.533,,0,verified_zero,
S0240,raw/videos/S0240.mp4,raw/tactile/S0240.txt,OBJ015,VT_OBJ015,water,air,water,W2A,turbid,normal,normal,stable,0,3.5,8.3,9.467,11.7,23.7,,0,verified_zero,
S0241,raw/videos/S0241.mp4,raw/tactile/S0241.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.3,6.2,7.8,10.2,22.8,,0,verified_zero,
S0242,raw/videos/S0242.mp4,raw/tactile/S0242.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,1.8,6.8,8.9,12.3,23.8,,0,verified_zero,
S0243,raw/videos/S0243.mp4,raw/tactile/S0243.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.6,6.3,7.7,10.7,22.867,,0,verified_zero,
S0244,raw/videos/S0244.mp4,raw/tactile/S0244.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.5,6.7,7.8,10.9,22.467,,0,verified_zero,
S0245,raw/videos/S0245.mp4,raw/tactile/S0245.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.1,6.4,8.2,10.9,22.833,,0,verified_zero,
S0246,raw/videos/S0246.mp4,raw/tactile/S0246.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.3,5.8,7.8,10.7,22.933,,0,verified_zero,
S0247,raw/videos/S0247.mp4,raw/tactile/S0247.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.1,6,7.5,10.1,21.933,,0,verified_zero,
S0248,raw/videos/S0248.mp4,raw/tactile/S0248.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.1,6.1,7.8,10.6,22.967,,0,verified_zero,
S0249,raw/videos/S0249.mp4,raw/tactile/S0249.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.1,6.8,8.7,11.7,23.2,,0,verified_zero,
S0250,raw/videos/S0250.mp4,raw/tactile/S0250.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.4,6,7.7,10.5,22.167,,0,verified_zero,
S0251,raw/videos/S0251.mp4,raw/tactile/S0251.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.2,5.9,7.4,10.8,22.4,,0,verified_zero,
S0252,raw/videos/S0252.mp4,raw/tactile/S0252.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,stable,0,2.5,5.7,7.3,10.1,22.1,,0,verified_zero,
S0253,raw/videos/S0253.mp4,raw/tactile/S0253.txt,OBJ016,VT_OBJ016,water,air,water,W2A,clear,normal,normal,fail,0,1.8,5.2,7.1,,8.8,,0,verified_zero,
S0254,raw/videos/S0254.mp4,raw/tactile/S0254.txt,OBJ016,VT_OBJ016,water,air,water,W2A,turbid,normal,normal,stable,0,2.6,8.2,9.5,12.5,23.9,,0,verified_zero,
S0255,raw/videos/S0255.mp4,raw/tactile/S0255.txt,OBJ016,VT_OBJ016,water,air,water,W2A,turbid,normal,normal,stable,0,2.3,7.1,8.8,11.6,23.4,,0,verified_zero,
S0256,raw/videos/S0256.mp4,raw/tactile/S0256.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,1.7,5.9,7.5,10.6,23.1,,0,verified_zero,
S0257,raw/videos/S0257.mp4,raw/tactile/S0257.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,2,6.5,8.6,11.8,23.4,,0,verified_zero,
S0258,raw/videos/S0258.mp4,raw/tactile/S0258.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,1.8,6.6,8.9,11.4,24.1,,0,verified_zero,
S0259,raw/videos/S0259.mp4,raw/tactile/S0259.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,2.2,5.9,8.2,10.9,23.267,,0,verified_zero,
S0260,raw/videos/S0260.mp4,raw/tactile/S0260.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,2.1,5.7,7.5,10.3,22.1,,0,verified_zero,
S0261,raw/videos/S0261.mp4,raw/tactile/S0261.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,1.7,5.5,7.2,10.1,22.433,,0,verified_zero,
S0262,raw/videos/S0262.mp4,raw/tactile/S0262.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,2.2,5.6,7.9,10.8,22.8,,0,verified_zero,
S0263,raw/videos/S0263.mp4,raw/tactile/S0263.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,2.1,5.7,7.8,10.3,22.467,,0,verified_zero,
S0264,raw/videos/S0264.mp4,raw/tactile/S0264.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,2.3,5.7,7.3,10.3,21.767,,0,verified_zero,
S0265,raw/videos/S0265.mp4,raw/tactile/S0265.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,2.3,5.6,7.4,10.1,22.267,,0,verified_zero,
S0266,raw/videos/S0266.mp4,raw/tactile/S0266.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,2.2,5.6,7.5,10.9,22.933,,0,verified_zero,
S0267,raw/videos/S0267.mp4,raw/tactile/S0267.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,stable,0,1.9,5.4,7.2,10.7,22.367,,0,verified_zero,
S0268,raw/videos/S0268.mp4,raw/tactile/S0268.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,normal,fail,0,1.8,5.3,7.8,,11.5,,0,verified_zero,
S0269,raw/videos/S0269.mp4,raw/tactile/S0269.txt,OBJ017,VT_OBJ017,water,air,water,W2A,turbid,normal,normal,stable,0,2.7,6.8,8.9,12.5,23.8,,0,verified_zero,
S0270,raw/videos/S0270.mp4,raw/tactile/S0270.txt,OBJ017,VT_OBJ017,water,air,water,W2A,turbid,normal,normal,stable,0,2.1,7.4,9.267,12.6,24.8,,0,verified_zero,
S0271,raw/videos/S0271.mp4,raw/tactile/S0271.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,inverse,stable,0,2.1,6.4,7.4,10.2,23.6,,0,verified_zero,
S0272,raw/videos/S0272.mp4,raw/tactile/S0272.txt,OBJ017,VT_OBJ017,water,air,water,W2A,clear,normal,inverse,stable,0,2.1,8.4,9.6,13,24.6,,0,verified_zero,
